时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0000000462074,28.000002299867667,28.000062091322558
2.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000362,28.000000000034284,28.000000001704887,28.00000005435144,28.000001215734535,28.00001950914235,28.000225371822204
3.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.00000000000003,28.000000000001396,28.000000000048423,28.00000000128779,28.00000002686377,28.000000443886123,28.000005808576596,28.000059558524402,28.00046862844686
4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000046,28.0000000000013,28.000000000031342,28.000000000627562,28.000000010499903,28.000000146757703,28.000001705295638,28.000016313525535,28.000126492622865,28.000777482372786
5.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000036,28.000000000000785,28.000000000015227,28.00000000025594,28.000000003718878,28.000000046576833,28.00000050010946,28.000004565411775,28.0000350183803,28.000222123338357,28.00114192167053
6.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000018,28.00000000000038,28.00000000000641,28.000000000095316,28.000000001252864,28.00000001450192,28.000000147057605,28.000001297264745,28.0000098632149,28.000063867090976,28.00034699598662,28.001554771945578
7.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.00000000000001,28.000000000000163,28.000000000002483,28.000000000033705,28.000000000410516,28.000000004473986,28.0000000434195,28.000000372973915,28.000002814441654,28.000018482715582,28.000104436356633,28.00050095286111,28.00201073779937
8.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000004,28.000000000000068,28.000000000000913,28.00000000001155,28.0000000001324,28.000000001374964,28.00000001288084,28.00000010827715,28.000000811545437,28.00000538234565,28.00003130303524,28.00015796496647,28.000683460819968,28.00250579438663
9.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000025,28.000000000000327,28.000000000003883,28.000000000042334,28.000000000422315,28.000000003841105,28.000000031700882,28.00000023610098,28.00000157676274,28.00000937254941,28.000049164953563,28.000225402095488,28.00089380050649,28.003036795613927
10.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000007,28.000000000000114,28.000000000001293,28.000000000013486,28.000000000129937,28.00000000115189,28.00000000935378,28.000000069236123,28.00000046457279,28.000002808230697,28.000015183895847,28.000072850777258,28.00030745832093,28.00113117447095,28.00360121776219
11.0,28.0,28.0,28.0,28.0,28.0,28.000000000000004,28.00000000000004,28.000000000000426,28.000000000004295,28.000000000040124,28.00000000034758,28.000000002780787,28.000000020454717,28.000000137655288,28.00000084295728,28.00000466875746,28.000023230216055,28.000103074032985,28.000404652276902,28.00139476783185,28.004196988739128
12.0,28.0,28.0,28.0,28.0,28.0,28.000000000000014,28.00000000000014,28.00000000000137,28.00000000001246,28.000000000105615,28.000000000833015,28.000000006087074,28.000000041021234,28.00000025371096,28.00000143251358,28.00000734116224,28.00003392996034,28.000140475937464,28.000517350474368,28.001683781251906,28.004822372175894
13.0,28.0,28.0,28.0,28.0,28.000000000000004,28.000000000000046,28.00000000000044,28.000000000003897,28.00000000003235,28.00000000025156,28.000000001824933,28.000000012297093,28.000000076620395,28.000000439338734,28.000002306436137,28.000011024701866,28.00004769789477,28.00018562626645,28.00064580000944,28.001997447859022,28.005475887153462
14.0,28.0,28.0,28.0,28.0,28.000000000000014,28.000000000000142,28.000000000001233,28.000000000010004,28.00000000007665,28.00000000055148,28.00000000370994,28.0000000232343,28.000000134859715,28.000000722112183,28.00000354940021,28.000015931422766,28.000064938758577,28.00023902688542,28.00079015482608,28.00233504095,28.00615625143851
15.0,28.0,28.0,28.0,28.000000000000004,28.000000000000046,28.000000000000394,28.000000000003133,28.0000000000236,28.000000000168136,28.000000001127233,28.000000007080143,28.000000041481865,28.000000225717436,28.00000113554285,28.000005256799554,28.000022282654072,28.000086042649244,28.000301116733155,28.00095049651561,28.002695876491195,28.00686234049299
16.0,28.0,28.0,28.0,28.000000000000014,28.000000000000128,28.000000000000995,28.00000000000736,28.0000000000518,28.000000000345317,28.00000000217025,28.00000001280061,28.000000070553124,28.00000036183846,28.000001719226724,28.000007533763775,28.000030305779532,28.000111381855387,28.000372277451827,28.001126850656064,28.003079312765312,28.007593157255606
17.0,28.0,28.0,28.000000000000004,28.000000000000043,28.000000000000323,28.000000000002334,28.000000000016165,28.00000000010683,28.00000000067004,28.000000003967795,28.000000022085423,28.000000115063745,28.000000558785658,28.000002518847953,28.000010494034992,28.000040231364864,28.000141308857675,28.00045283914819,28.001319199590732,28.00348474853121,28.008347809415387
18.0,28.0,28.0,28.000000000000014,28.000000000000107,28.000000000000757,28.000000000005127,28.000000000033463,28.000000000208736,28.000000001237307,28.00000000693425,28.000000036580577,28.000000180899715,28.000000835239995,28.00000358605633,28.000014258771888,28.000052290672045,28.000176155243206,28.000543085973487,28.001527492402015,28.003911620484246,28.009125491994038
19.0,28.0,28.000000000000007,28.00000000000004,28.000000000000256,28.000000000001663,28.000000000010655,28.000000000065793,28.000000000388937,28.000000002187534,28.00000001164722,28.00000005845165,28.000000275375903,28.000001213146355,28.000004978238376,28.00001895533599,28.00006671356098,28.000216231314234,28.000643261346738,28.00175165269354,28.004359400463397,28.00992547376041
20.0,28.000000000000007,28.000000000000018,28.000000000000092,28.00000000000056,28.00000000000347,28.000000000021068,28.000000000123592,28.000000000694886,28.000000003721325,28.000000018888013,28.000000090474057,28.000000407380814,28.000001717804796,28.00000675820298,28.00002471610234,28.00008372675889,28.000261826209933,28.0007535727357,28.001991584666754,28.004827592651196,28.010747086461812
21.0,28.000000000000018,28.000000000000043,28.000000000000203,28.000000000001176,28.000000000006903,28.000000000039872,28.000000000222933,28.000000001195897,28.00000000611686,28.0000000296859,28.000000136123624,28.000000587504147,28.00000237790931,28.000008993801973,28.000031677325172,28.000103552466122,28.0003132083954,28.000874195966748,28.002247177872544,28.005315730895553,28.011589716162145
22.0,28.00000000000004,28.000000000000092,28.000000000000426,28.00000000000235,28.000000000013156,28.000000000072554,28.00000000038776,28.00000000199025,28.0000000097498,28.000000045365375,28.000000199665376,28.000000828144685,28.00000322553789,28.00001175750466,28.000039978079275,28.00012640726126,28.000370626403363,28.001005279069297,28.002518310933304,28.005823376214977,28.012452796182156
23.0,28.00000000000008,28.00000000000019,28.000000000000856,28.000000000004505,28.000000000024134,28.00000000012744,28.000000000652733,28.000000003213703,28.000000015115592,28.000000067595607,28.000000286238564,28.000001143597103,28.00000429609881,28.0000151259431,28.000049759289897,28.00015250126687,28.000434309740434,28.001146945680063,28.00280485446401,28.00635011451043,28.01333580127671
24.0,28.00000000000017,28.00000000000038,28.000000000001656,28.000000000008324,28.00000000004278,28.0000000002168,28.000000001066706,28.00000000504933,28.00000002285395,28.000000098441156,28.00000040193626,28.00000155011703,28.000005628238828,28.000019179442667,28.00006116285754,28.000182037538103,28.000504469891283,28.001299298042525,28.00310667336857,28.006895554485734,28.014238242781044
25.0,28.00000000000034,28.00000000000074,28.00000000000308,28.00000000001488,28.00000000007349,28.00000000035827,28.000000001696925,28.00000000773884,28.000000033775255,28.000000140413068,28.0000005538781,28.0000020659645,28.000007263719105,28.00002400154985,28.000074330879336,28.000215211638913,28.000581301371223,28.001462419640923,28.003423628647674,28.00745932576738,28.01515966452585
26.0,28.000000000000657,28.000000000001382,28.00000000000555,28.000000000025796,28.00000000012271,28.00000000057657,28.000000002634007,28.000000011595215,28.00000004888853,28.000000196519476,28.0000007502751,28.00000271142654,28.00000924726479,28.000029678567042,28.000089404965195,28.00025221137411,28.000664982791342,28.001636377508483,28.00375557882334,28.00804107720916,28.01609963936978
27.0,28.000000000001222,28.000000000002508,28.000000000009706,28.000000000043496,28.000000000199627,28.000000000905654,28.00000000399769,28.000000017016678,28.00000006943064,28.00000027031486,28.000001000485707,28.000003508819994,28.0000116263939,28.000036299101772,28.00010652564457,28.0002932166491,28.000755677910547,28.001821224247802,28.004102381061795,28.008640475365162,28.017057766233165
28.0,28.000000000002206,28.000000000004423,28.00000000001652,28.00000000007148,28.000000000317083,28.00000000139124,28.000000005943402,28.000000024501855,28.00000009689629,28.000000365947262,28.00000131506263,28.000004482476207,28.000014451230708,28.000043953636055,28.000125831858025,28.00033839943288,28.000853536657,28.002016999798414,28.00446389205804,28.00925720311427,28.018033667542564
29.0,28.000000000003876,28.000000000007592,28.00000000002742,28.000000000114742,28.000000000492665,28.000000002093778,28.000000008669645,28.00000003466604,28.00000013306848,28.00000048820275,28.000001705790158,28.00000565870923,28.0000177743084,28.000052734119855,28.000147460527003,28.000387923803398,28.00095869610728,28.00222373298326,28.00483996873158,28.009890958420296,28.01902698701523
30.0,28.00000000000664,28.00000000001272,28.000000000044462,28.000000000180208,28.00000000075005,28.000000003091916,28.000000012426174,28.000000048258364,28.000000180049,28.000000642546627,28.000002185711978,28.000007065769477,28.000021650365163,28.000062733591264,28.000171546194665,28.000441946057638,28.001071281416134,28.002441442862285,28.005230468771998,28.010541453212955,28.02003738772695
31.0,28.000000000011106,28.000000000020822,28.00000000007056,28.000000000277378,28.000000001120565,28.000000004486424,28.00000001752295,28.00000006617976,28.000000240288546,28.000000835160915,28.000002769149685,28.00000873378473,28.00002613613734,28.000074045824917,28.000198220730656,28.00050061487161,28.001191406692918,28.002670139918013,28.005635251064852,28.01120841237634,28.02106455041806
32.0,28.00000000001817,28.000000000033374,28.00000000010976,28.000000000419007,28.00000000164504,28.00000000640462,28.000000024339798,28.000000089501487,28.000000316616184,28.00000107297776,28.000003471712276,28.00001069469042,28.000031290152773,28.000086765009264,28.000227613092868,28.000564071497976,28.00131917582312,28.002909827095014,28.006054176021877,28.011891572833004,28.022108172000877
33.0,28.000000000029114,28.00000000005244,28.00000000016759,28.00000000062201,28.000000002375955,28.0000000090053,28.000000033336754,28.000000119484103,28.00000041226774,28.000001363708552,28.00000431029717,28.000012982151084,28.00003717252685,28.000100985452562,28.000259849139475,28.000632449991226,28.001454683235128,28.003160500712102,28.00648710583449,28.012590682713018,28.023167964238652
34.0,28.00000000004575,28.00000000008089,28.000000000251482,28.000000000908464,28.000000003379853,28.000000012484175,28.000000045064997,28.000000157596602,28.00000053091291,28.000001715868574,28.00000530308326,28.00001563147461,28.000043844763326,28.000116801317013,28.000295051485118,28.00070587745214,28.00159801461347,28.003422151263916,28.006933904665757,28.013305500598726,28.02424365257135
35.0,28.000000000070592,28.00000000012264,28.0000000003713,28.00000000130682,28.0000000047401,28.000000017079753,28.00000006017831,28.000000205535635,28.000000676680763,28.000002138797136,28.000006469516666,28.00001867952109,28.00005136956166,28.000134306379984,28.000333339395485,28.00078447428492,28.001749247560564,28.00369476412607,28.00739443879286,28.0140357948369,28.025334975067842
36.0,28.000000000107086,28.000000000182954,28.00000000053995,28.000000001853273,28.000000006559965,28.000000023079718,28.000000079444945,28.00000026524453,28.000000854183483,28.000002642673206,28.000007830289874,28.000022164607596,28.000059810632024,28.00015359382103,28.000374828715135,28.000868354461538,28.001908452209452,28.003978320176305,28.007868576709754,28.01478134291112,28.02644168148748
37.0,28.000000000159876,28.000000000268816,28.000000000774094,28.00000000259336,28.000000008965994,28.00000003082773,28.00000010375988,28.000000338932036,28.000001068538133,28.000003238526617,28.000009407314923,28.00002612641032,28.000069232519007,28.000174756033225,28.00041963182384,28.00095762578913,28.00207569179036,28.004272796342313,28.008356189197766,28.015541930867922,28.0275635324367
38.0,28.000000000235133,28.000000000389385,28.000000001095014,28.000000003583743,28.000000012111748,28.000000040730637,28.000000134157297,28.000000429090562,28.000001325386307,28.000003938244987,28.00001122369138,28.000030605865234,28.00007970043464,28.00019788445725,28.000467857617327,28.00105239017703,28.002251023153907,28.00457816608555,28.00885714937041,28.01631735279118,28.028700298608673
39.0,28.000000000340968,28.0000000005565,28.000000001529592,28.000000004894222,28.00000001618183,28.000000053266028,28.00000017182321,28.00000053851381,28.0000016309116,28.0000047545765,28.000013303669775,28.000035645068323,28.000091280101113,28.00022306943653,28.000519611508675,28.001152743900825,28.002434497253983,28.004894399828988,28.00937133269745,28.017107410319742,28.029851760095656
40.0,28.000000000487912,28.000000000785338,28.000000002111417,28.000000006609948,28.000000021396254,28.00000006899017,28.00000021810818,28.000000670313607,28.000001991854823,28.00000570112882,28.00001567261117,28.00004128717626,28.000104037603467,28.000250400091854,28.0005749954471,28.001258777861462,28.002626159593085,28.005221465335797,28.009898617012368,28.017911912203946,28.031017705765393
41.0,28.00000000068947,28.0000000010951,28.00000000288207,28.000000008833908,28.000000028015098,28.000000088546138,28.00000027453998,28.000000827935924,28.00000241552688,28.000006792364314,28.000018356943503,28.00004757630835,28.00011803925223,28.0002799642138,28.000634107951264,28.001370577837886,28.002826050632986,28.005559328044985,28.01043888250649,28.018730673897206,28.03219793269401
42.0,28.000000000962807,28.000000001509875,28.000000003892563,28.00000001168958,28.00000003634343,28.00000011267228,28.00000034283614,28.00000101517588,28.000002909819393,28.000008043591905,28.0000213841153,28.000054557450355,28.000133351455954,28.000311848171425,28.00069704415462,28.001488224732103,28.003034206173297,28.005907951369174,28.010992011712574,28.019563517179208,28.033392245649065
43.0,28.000000001329482,28.0000000020596,28.00000000520491,28.00000001532387,28.00000004673655,28.000000142210766,28.000000424916315,28.000001236191704,28.00000348321305,28.000009470955778,28.00002478254732,28.00006227636069,28.000150040603447,28.00034613683576,28.000763895860533,28.00161179480593,28.003250657700477,28.00626729695911,28.011557889479974,28.02041026980772,28.034600456617063
44.0,28.000000001816375,28.00000000278113,28.000000006893924,28.000000019910253,28.00000005960543,28.000000178116338,28.00000052291432,28.000001495517573,28.000004144783667,28.000011091421268,28.000028581582658,28.000070779479532,28.000168172955387,28.00038291351663,28.00083475160539,28.00174135990888,28.003475432709628,28.006637324938815,28.012136402943266,28.021270765196313,28.035822384370736
45.0,28.000000002456655,28.000000003719475,28.00000000904915,28.00000002565213,28.00000007542242,28.000000221465108,28.00000063918985,28.00000179807528,28.00000490420617,28.000012922758156,28.000032811435727,28.000080113841065,28.000187814545026,28.00042225991156,28.000909696727977,28.00187698769688,28.003708555001243,28.007017994114875,28.012727441485776,28.02214484211562,28.037057854071808
46.0,28.00000000329094,28.000000004929163,28.00000001177699,28.00000003278643,28.000000094727124,28.000000273463403,28.00000077633977,28.000002149184702,28.000005771756427,28.00001498352171,28.000037503140632,28.000090326989202,28.000209031087554,28.000464256065424,28.00098881344377,28.00201874184176,28.003950044954927,28.007409262162835,28.01333089669919,28.023032344415995,28.038306696905604
47.0,28.000000004368562,28.000000006475762,28.000000015203025,28.00000004158739,28.000000118132473,28.00000033545657,28.000000937208902,28.00000255457299,28.000006758311127,28.00001729303169,28.000042688499214,28.000101466896943,28.000231887897737,28.000508980339852,28.00107218092291,28.00216668223139,28.004199919781986,28.007811085793332,28.013946662340295,28.023933120769648,28.039568749744312
48.0,28.000000005748987,28.000000008437567,28.0000000194745,28.000000052370556,28.000000146330926,28.000000408937737,28.000001124900287,28.00000302038259,28.00000787534576,28.000019871349615,28.000048400029176,28.00011358188947,28.000256449815367,28.000556509391174,28.00115987537086,28.00232086516065,28.004458193758605,28.008223420900272,28.01457463428559,28.024847024430564,28.040843854836027
49.0,28.000000007503395,28.00000001090742,28.00000002476299,28.000000065496952,28.000000180100823,28.000000495556446,28.000001342784877,28.000003553177944,28.000009134930814,28.000022739254533,28.000054670912554,28.000126720571117,28.00028278113809,28.00060691815607,28.001251970110815,28.00248134351333,28.00472487844115,28.008646222693127,28.015214710484475,28.02577391301068,28.042131859517113
50.0,28.000000009716402,28.000000013994732,28.00000003126727,28.000000081377465,28.000000220312774,28.00000059712714,28.00000159451059,28.000004159951022,28.000010549726344,28.00002591821753,28.000061534944795,28.00014093175622,28.000310945561157,28.00066027984397,28.001348535667194,28.002648166935256,28.004999982865122,28.009079445814994,28.015866790911538,28.026713648270977,28.043432615945697
51.0,28.000000012487945,28.000000017827624,28.00000003921635,28.00000010047732,28.00000026793616,28.000000715637455,28.000001884010732,28.000004848125606,28.000012132974977,28.0000294303752,28.000069026484667,28.000156264403785,28.00034100612368,28.00071666593544,28.001449639849557,28.00282138199885,28.005283513729076,28.00952304444814,28.016530777518348,28.027666095926158,28.04474598085428
52.0,28.00000001593534,28.000000022555284,28.00000004887266,28.000000123320774,28.00000032404563,28.00000085325625,28.000002215511735,28.000005625560405,28.00001389849351,28.000033298502288,28.000077180405178,28.000172767556037,28.000373025160897,28.0007761461858,28.00155534783641,28.003001032359442,28.005575475564672,28.009976972408264,28.017206574185174,28.028631125461903,28.04607181531981
53.0,28.000000020195493,28.000000028350478,28.000000060535445,28.00000015049589,28.000000389827633,28.000001012341418,28.000002593540195,28.00000650055103,28.00001586066323,28.000037545983705,28.000086032045704,28.000190490280698,28.000407064262117,28.000838788633367,28.001665722258487,28.003187158903675,28.005875870894062,28.010441183228767,28.017894086672843,28.029608609963642,28.04740998454959
54.0,28.0000000254273,28.000000035412196,28.000000074544275,28.00000018265944,28.00000046658688,28.000001195447357,28.000003022929224,28.000007481830853,28.000018034419035,28.000042196786097,28.000095617165385,28.000209481616952,28.00044318423382,28.000904659611646,28.00178082328115,28.003379799890258,28.00618470037559,28.010915630236106,28.01859322257503,28.030598425955915,28.048760357681715
