时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
60.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999999908,2.5499999999971155,2.549999999917787,2.549999997881561,2.5499999512524365,2.549999013466567,2.549982781107858,2.5497474427859688,2.5469974260892503,2.522557861547323,2.3723330028742184
120.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999984,2.5499999999996628,2.5499999999938177,2.549999999894973,2.5499999983527375,2.5499999763534515,2.5499996923925967,2.5499964161938644,2.549963136055771,2.549671140900273,2.547513373678498,2.5345356878255245,2.4739903825779153,2.2696084882167358
180.0,2.55,2.55,2.55,2.55,2.55,2.5499999999999883,2.5499999999997986,2.549999999997196,2.549999999963369,2.549999999551213,2.549999994878334,2.549999945961855,2.5499994772387904,2.5499954066512873,2.5499637415833103,2.5497462217255973,2.5484498965124036,2.541896935294689,2.514603404940822,2.4243703423326806,2.1984499493967644
240.0,2.55,2.55,2.55,2.55,2.549999999999934,2.549999999999225,2.5499999999915093,2.549999999911496,2.5499999991272877,2.54999999191703,2.5499999301752996,2.5499994414965457,2.5499958961191793,2.549972541273843,2.5498343885373167,2.5491101564710115,2.5457989546575357,2.532850854696184,2.4905557684616846,2.3782824427486355,2.143138443822699
300.0,2.55,2.55,2.5499999999999825,2.5499999999998186,2.549999999998294,2.549999999984422,2.5499999998629588,2.54999999884924,2.5499999908494546,2.549999931582236,2.549999522247876,2.5499969059331278,2.5499815531809658,2.5498995792785895,2.5495054060656153,2.5478188378079127,2.541487438197687,2.5209739752636793,2.4646660513659446,2.336253682688712,2.0972300706655416
360.0,2.5499999999999834,2.5499999999999483,2.549999999999639,2.549999999997228,2.549999999978405,2.549999999834929,2.549999998781597,2.5499999914074185,2.549999942560524,2.549999638536701,2.549997872584309,2.5499883664544747,2.5499413014793464,2.549728770980767,2.548861679820426,2.5456997775649066,2.5355193916943026,2.506967713459381,2.438202126968828,2.2978819249674736,2.057726836698002
420.0,2.549999999999758,2.5499999999993253,2.549999999996121,2.549999999974445,2.5499999998284895,2.5499999988686786,2.549999992788361,2.54999995603727,2.549999745701345,2.5499986135105677,2.5499929190661885,2.5499663361531058,2.5498519749640955,2.549402090629819,2.5477976279931585,2.542659323496385,2.5280360434310514,2.491455705418813,2.4118783105119177,2.262682218408442,2.0228396071773624
480.0,2.549999999997749,2.549999999994354,2.5499999999715808,2.549999999835327,2.5499999990267836,2.5499999943421536,2.549999968186714,2.5499998287703285,2.5499991245342595,2.549995775378604,2.549980873428718,2.5499192304695453,2.549683748210906,2.5488589360564013,2.546230463722294,2.5386730212274293,2.519239014539881,2.474931199437879,2.386068426648185,2.2301919962021017,1.991498391923223
540.0,2.5499999999848555,2.549999999965191,2.5499999998436107,2.5499999991898754,2.5499999957151864,2.5499999776882865,2.5499998875323273,2.5499994567932087,2.5499975048595247,2.549989167907874,2.549955806894003,2.5498314828032056,2.549402681032282,2.548042812466424,2.5441049073093307,2.5337673088798387,2.5093442764489193,2.4577691767745606,2.360964192374613,2.2000169199285446,1.9629936390413991
