时间（s）,归一化半径 ξ=0.0000,归一化半径 ξ=0.0500,归一化半径 ξ=0.1000,归一化半径 ξ=0.1500,归一化半径 ξ=0.2000,归一化半径 ξ=0.2500,归一化半径 ξ=0.3000,归一化半径 ξ=0.3500,归一化半径 ξ=0.4000,归一化半径 ξ=0.4500,归一化半径 ξ=0.5000,归一化半径 ξ=0.5500,归一化半径 ξ=0.6000,归一化半径 ξ=0.6500,归一化半径 ξ=0.7000,归一化半径 ξ=0.7500,归一化半径 ξ=0.8000,归一化半径 ξ=0.8500,归一化半径 ξ=0.9000,归一化半径 ξ=0.9500,归一化半径 ξ=1.0000
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
60.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999745,2.5499999999967677,2.5499999996526883,2.5499999679371994,2.549997528514181,2.549847310438901,2.542910714863779,2.3287978520302026
120.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999132,2.549999999993879,2.5499999996258347,2.549999979937139,2.5499990755957365,2.5499644261479975,2.5489024302751577,2.524525025462544,2.1497275902794537
180.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999416,2.549999999996879,2.549999999857547,2.5499999942049882,2.5499997931317613,2.549993654170091,2.549837409144488,2.546659316450092,2.4982882547545815,2.003646366090843
240.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999803,2.549999999999001,2.5499999999620813,2.549999998704468,2.549999960528139,2.549998944724329,2.5499757580875495,2.5495348520290766,2.542839433169474,2.4667698752171052,1.8834795172349768
300.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999746,2.549999999991451,2.5499999997417335,2.5499999929516837,2.5499998284676253,2.5499963372954233,2.549932800689368,2.5489700101486865,2.537323521454155,2.4318546512308483,1.7837851593665146
360.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999947,2.549999999998241,2.5499999999514307,2.54999999877914,2.5499999722775977,2.5499994386840203,2.5499900285476906,2.549847790380787,2.5480583364717106,2.530090132696105,2.3948836926400845,1.7004422215495056
420.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999659,2.549999999991147,2.549999999791344,2.5499999955112176,2.549999912771152,2.5499984886541105,2.549977026853986,2.5496999156256495,2.5467228804961626,2.5211949556919793,2.356895237404846,1.63012686169196
480.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999408,2.5499999999984166,2.5499999999644887,2.549999999268987,2.5499999862613953,2.549999766791462,2.54999647083161,2.5499531472371273,2.549465410186088,2.5448976853320127,2.5107421944437207,2.3186385829359364,1.5702506894224435
540.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997236,2.549999999993951,2.549999999879979,2.5499999978075367,2.549999963436834,2.5499994493450298,2.549992607455523,2.5499129362426953,2.549118556149122,2.5425299825545324,2.4988692732035034,2.2806542348073364,1.5187724884660527
600.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999585,2.5499999999989695,2.5499999999801024,2.549999999645482,2.5499999941819187,2.5499999128435205,2.5499988210758295,2.549985785955015,2.5498496501628996,2.548632447996972,2.539578211507531,2.485714520945628,2.2432745340401237,1.474199676736694
660.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999829,2.5499999999966674,2.5499999999418934,2.5499999990607645,2.54999998601447,2.5499998099350396,2.5499976679162275,2.549974495455131,2.54975526415806,2.5479796885112225,2.536012125657104,2.4714227209277273,2.2067445979980924,1.4353010261807941
