时间（s）,归一化半径 ξ=0.0000,归一化半径 ξ=0.0500,归一化半径 ξ=0.1000,归一化半径 ξ=0.1500,归一化半径 ξ=0.2000,归一化半径 ξ=0.2500,归一化半径 ξ=0.3000,归一化半径 ξ=0.3500,归一化半径 ξ=0.4000,归一化半径 ξ=0.4500,归一化半径 ξ=0.5000,归一化半径 ξ=0.5500,归一化半径 ξ=0.6000,归一化半径 ξ=0.6500,归一化半径 ξ=0.7000,归一化半径 ξ=0.7500,归一化半径 ξ=0.8000,归一化半径 ξ=0.8500,归一化半径 ξ=0.9000,归一化半径 ξ=0.9500,归一化半径 ξ=1.0000
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
60.0,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.54902859932566,2.549028599325635,2.5490285993224306,2.549028598978504,2.5490285672764794,2.5490261288668004,2.5488759717715563,2.541942121757194,2.327911213159934
120.0,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.548057744365868,2.5480577443657797,2.5480577443597525,2.5480577439919707,2.5480577243173896,2.5480568206355128,2.5480221968791468,2.5469610004833325,2.522602200655664,2.1480929394738504
180.0,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662,2.5470874502661376,2.54708745026308,2.5470874501238474,2.547087444475765,2.547087243575056,2.547081110288704,2.5469250198108644,2.5437502686582683,2.49543299451308,2.001367743580235
240.0,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.546117716812305,2.546117716812283,2.5461177168113043,2.5461177167744022,2.5461177155175494,2.5461176773700154,2.546116662483709,2.5460935001688494,2.5456531187154745,2.5389665731265287,2.4630078178832826,1.8806368586493412
300.0,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496777,2.5451485303496715,2.5451485303494215,2.5451485303411285,2.5451485300914367,2.5451485233038866,2.5451483589228503,2.5451448708196356,2.5450814056520925,2.544119924643019,2.532491905729785,2.4272132215378,1.780441171186185
360.0,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932264,2.5441798733932255,2.544179873393167,2.544179873391462,2.5441798733446164,2.5441798721718567,2.5441798456702576,2.5441793122843954,2.5441699094015524,2.54402783328747,2.5422410495278105,2.5243057061702983,2.3893901220446114,1.696648910634633
420.0,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337938,2.543211755337926,2.5432117553375915,2.5432117553290636,2.543211755128938,2.5432117508443297,2.5432116680640977,2.5432102440381583,2.5431887950566936,2.5429119914950324,2.5399397187140176,2.5144645038948097,2.350576736341601,1.625926975299772
480.0,2.542244185574951,2.542244185574951,2.542244185574951,2.542244185574951,2.542244185574951,2.542244185574951,2.542244185574951,2.5422441855749502,2.5422441855748863,2.5422441855733555,2.542244185539317,2.5422441848420307,2.542244171810973,2.542243952109184,2.5422406550702803,2.542197347828991,2.5417101243056894,2.5371501413207103,2.5030732871974757,2.3115221365592937,1.5656795212743624
540.0,2.541277177331546,2.541277177331546,2.541277177331546,2.541277177331546,2.541277177331546,2.541277177331546,2.5412771773315455,2.5412771773315384,2.541277177331265,2.541277177325458,2.541277177210967,2.5412771751310324,2.541277140669605,2.541276625710948,2.541269778621477,2.541190117927593,2.5403965192104305,2.533819739439573,2.4902703293985473,2.2727666201382046,1.5138587970697739
600.0,2.5403107380699343,2.5403107380699343,2.5403107380699343,2.5403107380699343,2.5403107380699343,2.5403107380699343,2.540310738069932,2.540310738069886,2.5403107380688903,2.540310738049884,2.5403107377132668,2.5403107322237144,2.540310650596683,2.54030955624053,2.5402965050734476,2.540160350640368,2.5389442487344436,2.5299070876630245,2.476194516590239,2.2346415322824105,1.4689686262039097
660.0,2.539344838775595,2.539344838775595,2.539344838775595,2.539344838775595,2.539344838775595,2.539344838775595,2.539344838775587,2.539344838775417,2.539344838772226,2.539344838716957,2.5393448378292476,2.53934482470488,2.5393446478288153,2.5393424991591464,2.539319286482082,2.5390999619547805,2.5373258374114087,2.5253820327200858,2.4609911270335743,2.1973910733338844,1.4297746092094172
